raw_reason,canonical_reason,definition_used,problem_object,process_signal,actor_context,manuscript_categories,classification_strength,main_figure_recommended,caution,semantic_rationale
Author Unresponsive,Author Unresponsive,"The corresponding author(s) did not respond to journal/publisher requests for response, clarification, etc., about one or more concerns/issues with a publication. RW does not apply this reason when the lack of response is only to the language or posting of a notice of correction/EOC/retraction.ion after prior contact by Journal, Publisher or other original Authors",article_general,notice_opacity,author;journal_publisher,post_publication_transparency_due_process_oversight,broad,False,"Author unresponsiveness is a procedural transparency issue, not a direct indicator of manuscript content or integrity problems. It may accompany other reasons but alone does not confirm research unreliability or misconduct.","The definition describes a failure in post-publication communication and clarification process, which falls under post-publication transparency and due process oversight. It does not directly address research content, authorship, or editorial governance."
Bias Issues or Lack of Balance,Bias Issues or Lack of Balance,"Any question, controversy or dispute about balance or bias in any of the methods, analyses, results or any part of the published content. RW entries using this reason do not state or imply, nor should users infer, any intentionality.",methods_materials;results_conclusions;text_article,journal_publisher_investigation;third_party_investigation;institutional_investigation,author;journal_publisher;third_party;unclear,research_content_reliability,broad,True,"Bias concerns may overlap with editorial or peer-review governance if the bias is alleged to stem from compromised review, but the definition focuses on content balance, not process. No intentionality is implied.","The definition addresses questions about balance or bias in methods, analyses, results, or published content, directly impacting the reliability of research content. It does not inherently involve authorship, editorial governance, or post-publication oversight, though investigations may involve multiple actors."
Breach of Policy by Author,Breach of Policy by Author,"A journal/publisher/institution states that one or more authors violated one or more of the journal/publisher/institution’s policy(ies). RW will use this reason when no other information about the correction/EOC/retraction is available (i.e., the notice only states that there was a breach of policy), or when the breach of policy (as an additional reason) cannot be addressed by existing reasons.",article_general,publication_policy_or_sanction,author;journal_publisher;company_institution,,ambiguous,False,"The definition is a catch-all for unspecified policy violations; without further detail, it does not map to a specific manuscript-facing category. It signals a publication-policy breach but lacks content, process, or transparency specificity.","The definition describes a generic policy violation by an author, as stated by a journal/publisher/institution. It does not specify whether the breach relates to research content, authorship, peer review, or post-publication processes, so no manuscript category is directly supported."
Cites Retracted Work,Cites Retracted Work,Retracted content is used in citations or referencing.,references_attribution,content_reuse_or_duplication_process,author,attribution_authorship_disclosure_integrity,broad,False,"The reason indicates reliance on retracted work, which may affect the integrity of the citing manuscript's references. However, it does not necessarily imply that the citing manuscript's own research content is unreliable, nor does it directly involve editorial or post-publication processes. The assignment to attribution_authorship_disclosure_integrity is broad because the issue pertains to the integrity of the reference list rather than core research content.","The definition 'Retracted content is used in citations or referencing' points to a problem with references (problem_object: references_attribution) and involves the process of content reuse (process_signal: content_reuse_or_duplication_process). The actor is typically the author who cited the retracted work. This primarily affects the integrity of attribution and disclosure, fitting the attribution_authorship_disclosure_integrity category broadly, as it concerns the reliability of cited sources rather than the manuscript's own data or conclusions."
Civil Proceedings,Civil Proceedings,"Civil legal proceedings were instigated in response to the article and/or notice(s), or civil legal proceedings resulted in the correction/EOC/retraction/etc.",article_general,legal_process,third_party,post_publication_transparency_due_process_oversight,broad,False,"The reason indicates a legal process triggered by the article, but does not specify the underlying manuscript issue. It is a post-publication event that may relate to transparency or due process, but lacks direct evidence of content, authorship, or editorial problems.","Civil proceedings are a legal process external to the research content, triggered by the article or its notices. This falls under post-publication oversight as it involves legal scrutiny of the publication, but does not directly indicate issues with research content, authorship, or editorial governance."
Complaints about Author,Complaints about Author,"Complaints about one or more authors in addition to concerns about the original article. RW may also use this reason for cases in which something about one or more authors is called into question following any notice, i.e., when complaints escalate to being entirely author-based.",authorship_affiliation,authorship_publication_process,author,attribution_authorship_disclosure_integrity,broad,True,"The definition is broad and covers complaints about authors that may relate to various aspects of authorship integrity, but does not specify the nature of the complaints. It is assumed that such complaints typically involve authorship attribution or disclosure issues, but other categories could apply if additional context were available.","The definition explicitly mentions complaints about authors, which directly relates to authorship integrity and disclosure. The problem object is authorship/affiliation, and the process signal is the authorship/publication process. The actor context is the author. This supports the attribution_authorship_disclosure_integrity category."
Complaints about Company/Institution,Complaints about Company/Institution,"Complaints about one or more companies/institutions in addition to concerns about the original article. RW may also use this reason for cases in which something about one or more companies/institutions is called into question following any notice, i.e., when complaints escalate to being entirely company/institution-based.",article_general,third_party_investigation;institutional_investigation,company_institution;third_party,post_publication_transparency_due_process_oversight,broad,False,"The reason focuses on complaints about companies/institutions, which may relate to research conduct but does not directly assert issues with research content, authorship, or editorial processes. It primarily signals post-publication scrutiny involving institutional actors.","Complaints about companies/institutions imply external or institutional investigation processes, aligning with post-publication oversight. The definition does not specify reliability of research content, authorship, or editorial governance, so only the oversight category is assigned broadly."
Complaints about Third Party,Complaints about Third Party,"Complaints about one or more third parties in addition to concerns about the original article. RW may also use this reason for cases in which something about one or more third parties is called into question following any notice, ie., when complaints escalate to being entirely third party-based.",article_general,third_party_investigation;notice_opacity,third_party,post_publication_transparency_due_process_oversight,broad,False,"The reason is a metadata signal about complaints involving third parties, not a direct indicator of manuscript content or process flaws. It primarily reflects post-publication transparency and due process oversight, but lacks specificity to support main-figure prevalence.","The definition describes complaints about third parties in relation to an article, which signals post-publication scrutiny and potential opacity in handling. This aligns with post_publication_transparency_due_process_oversight as it involves oversight processes triggered by third-party complaints. No direct evidence of research content, authorship, or editorial governance issues is inherent in the definition."
Compromised Peer Review,Compromised Peer Review,The peer review was not performed in accordance with the journal’s guidelines or ethical standards,article_general,peer_review_compromised,unclear,editorial_peer_review_governance,strict,True,,"The definition directly describes a failure in the peer review process, which maps to editorial_peer_review_governance. No other categories are supported."
Computer-Aided Content or Computer-Generated Content,Computer-Aided Content or Computer-Generated Content,"Contains any content that was created via a text generator, randomizing algorithm, generative AI, etc. Some examples of these tools include Mathgen, Scigen, ChatGPT.",text_article,ai_computer_content,unclear,research_content_reliability,broad,True,None,"The definition describes content generated by AI or algorithms, which directly impacts the reliability of the research content. The process signal is ai_computer_content, and the problem object is text_article. Actor context is unclear as the definition does not specify who used the tool."
